Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Status
I2,3980,2024-04-01 17:35:00,2024-04-01 17:19:00,A,MAD,MADRID,SPAIN,3,LANDED
LY,8388,2024-04-01 17:35:00,2024-04-01 17:19:00,A,MAD,MADRID,SPAIN,3,LANDED
BZ,131,2024-04-01 17:20:00,2024-04-01 17:28:00,A,FCO,ROME,ITALY,3,LANDED
LH,687,2024-04-01 16:30:00,2024-04-01 17:28:00,D,FRA,FRANKFURT,GERMANY,3,DEPARTED
SN,7174,2024-04-01 16:30:00,2024-04-01 17:28:00,D,FRA,FRANKFURT,GERMANY,3,DEPARTED
UA,9123,2024-04-01 16:30:00,2024-04-01 17:28:00,D,FRA,FRANKFURT,GERMANY,3,DEPARTED
LO,154,2024-04-01 16:20:00,2024-04-01 17:32:00,D,WAW,WARSAW,POLAND,3,DEPARTED
LY,348,2024-04-01 17:25:00,2024-04-01 17:32:00,A,ZRH,ZURICH,SWITZERLAND,3,LANDED
LY,9253,2024-04-01 16:20:00,2024-04-01 17:32:00,D,WAW,WARSAW,POLAND,3,DEPARTED
SK,3188,2024-04-01 17:25:00,2024-04-01 17:32:00,A,ZRH,ZURICH,SWITZERLAND,3,LANDED
LY,375,2024-04-01 17:15:00,2024-04-01 17:37:00,D,LIS,LISBON,PORTUGAL,3,DEPARTED
TO,3458,2024-04-01 17:35:00,2024-04-01 17:37:00,A,ORY,PARIS,FRANCE,3,LANDED
TP,8920,2024-04-01 17:15:00,2024-04-01 17:37:00,D,LIS,LISBON,PORTUGAL,3,DEPARTED
AM,7865,2024-04-01 16:55:00,2024-04-01 17:39:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
B6,6457,2024-04-01 16:55:00,2024-04-01 17:39:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
DL,7432,2024-04-01 16:55:00,2024-04-01 17:39:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
LY,011,2024-04-01 16:55:00,2024-04-01 17:39:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
AF,7071,2024-04-01 17:15:00,2024-04-01 17:41:00,D,CDG,PARIS,FRANCE,3,DEPARTED
AM,7853,2024-04-01 17:15:00,2024-04-01 17:41:00,D,CDG,PARIS,FRANCE,3,DEPARTED
