Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Status
AA,9258,2024-03-17 16:35:00,2024-03-17 16:35:00,A,CDG,PARIS,FRANCE,3,LANDED
IZ,161,2024-03-17 15:55:00,2024-03-17 16:35:00,D,LCA,LARNACA,CYPRUS,3,DEPARTED
LY,320,2024-03-17 16:35:00,2024-03-17 16:35:00,A,CDG,PARIS,FRANCE,3,LANDED
B6,6470,2024-03-17 17:20:00,2024-03-17 16:40:00,A,MIA,MIAMI,UNITED STATES,3,LANDED
DL,7451,2024-03-17 17:20:00,2024-03-17 16:40:00,A,MIA,MIAMI,UNITED STATES,3,LANDED
LY,118,2024-03-17 17:20:00,2024-03-17 16:40:00,A,MIA,MIAMI,UNITED STATES,3,LANDED
LY,358,2024-03-17 15:55:00,2024-03-17 16:42:00,A,FRA,FRANKFURT,GERMANY,3,LANDED
LO,154,2024-03-17 16:10:00,2024-03-17 16:43:00,D,WAW,WARSAW,POLAND,3,DEPARTED
LY,363,2024-03-17 16:15:00,2024-03-17 16:45:00,D,VIE,VIENNA,AUSTRIA,3,DEPARTED
WZ,018,2024-03-17 15:00:00,2024-03-17 16:47:00,D,AER,SOCHI,RUSSIAN FEDERATION,3,DEPARTED
AM,7851,2024-03-17 16:10:00,2024-03-17 16:48:00,D,AMS,AMSTERDAM,NETHERLANDS,3,DEPARTED
LY,339,2024-03-17 16:10:00,2024-03-17 16:48:00,D,AMS,AMSTERDAM,NETHERLANDS,3,DEPARTED
SK,3151,2024-03-17 16:10:00,2024-03-17 16:48:00,D,AMS,AMSTERDAM,NETHERLANDS,3,DEPARTED
AF,963,2024-03-17 15:50:00,2024-03-17 16:52:00,D,CDG,PARIS,FRANCE,3,DEPARTED
LY,338,2024-03-17 16:45:00,2024-03-17 16:55:00,A,AMS,AMSTERDAM,NETHERLANDS,3,LANDED
SK,3150,2024-03-17 16:45:00,2024-03-17 16:55:00,A,AMS,AMSTERDAM,NETHERLANDS,3,LANDED
6H,048,2024-03-17 16:30:00,2024-03-17 16:58:00,A,ETM,RAMON,ISRAEL,3,LANDED
W6,4428,2024-03-17 15:45:00,2024-03-17 16:59:00,D,SOF,SOFIA,BULGARIA,3,DEPARTED
IB,2393,2024-03-17 16:40:00,2024-03-17 17:04:00,A,BCN,BARCELONA,SPAIN,3,LANDED
LY,394,2024-03-17 16:40:00,2024-03-17 17:04:00,A,BCN,BARCELONA,SPAIN,3,LANDED
LH,687,2024-03-17 16:20:00,2024-03-17 17:05:00,D,FRA,FRANKFURT,GERMANY,3,DEPARTED
SN,7174,2024-03-17 16:20:00,2024-03-17 17:05:00,D,FRA,FRANKFURT,GERMANY,3,DEPARTED
UA,9123,2024-03-17 16:20:00,2024-03-17 17:05:00,D,FRA,FRANKFURT,GERMANY,3,DEPARTED
IZ,295,2024-03-17 16:00:00,2024-03-17 17:08:00,D,OTP,BUCHAREST,ROMANIA,3,DEPARTED
IZ,776,2024-03-17 17:05:00,2024-03-17 17:09:00,A,GNB,GRENOBLE,FRANCE,3,LANDED
LY,312,2024-03-17 17:10:00,2024-03-17 17:10:00,A,LTN,LONDON LUTON,UNITED KINGDOM,3,LANDED
AM,7853,2024-03-17 16:40:00,2024-03-17 17:12:00,D,CDG,PARIS,FRANCE,3,DEPARTED
LY,325,2024-03-17 16:40:00,2024-03-17 17:12:00,D,CDG,PARIS,FRANCE,3,DEPARTED
LX,252,2024-03-17 17:10:00,2024-03-17 17:16:00,A,ZRH,ZURICH,SWITZERLAND,3,LANDED
IZ,417,2024-03-17 15:10:00,2024-03-17 17:18:00,D,TBS,TBILISI,GEORGIA,3,DEPARTED
LY,2373,2024-03-17 16:40:00,2024-03-17 17:18:00,D,BER,BERLIN,GERMANY,3,DEPARTED
BZ,703,2024-03-17 17:25:00,2024-03-17 17:21:00,A,ATH,ATHENS,GREECE,3,LANDED
LY,387,2024-03-17 17:00:00,2024-03-17 17:24:00,D,MXP,MILAN,ITALY,3,DEPARTED
SK,3183,2024-03-17 17:00:00,2024-03-17 17:24:00,D,MXP,MILAN,ITALY,3,DEPARTED
LH,681,2024-03-17 17:10:00,2024-03-17 17:28:00,D,MUC,MUNICH,GERMANY,3,DEPARTED
SN,7172,2024-03-17 17:10:00,2024-03-17 17:28:00,D,MUC,MUNICH,GERMANY,3,DEPARTED
IZ,821,2024-03-17 16:50:00,2024-03-17 17:31:00,D,ETM,RAMON,ISRAEL,3,DEPARTED
B6,6460,2024-03-17 18:10:00,2024-03-17 17:37:00,A,JFK,NEW YORK,UNITED STATES,3,LANDED
DL,7434,2024-03-17 18:10:00,2024-03-17 17:37:00,A,JFK,NEW YORK,UNITED STATES,3,LANDED
LY,014,2024-03-17 18:10:00,2024-03-17 17:37:00,A,JFK,NEW YORK,UNITED STATES,3,LANDED
AM,7877,2024-03-17 17:15:00,2024-03-17 17:40:00,D,LHR,LONDON,UNITED KINGDOM,3,DEPARTED
LY,317,2024-03-17 17:15:00,2024-03-17 17:40:00,D,LHR,LONDON,UNITED KINGDOM,3,DEPARTED
AA,9266,2024-03-17 17:50:00,2024-03-17 17:45:00,A,MAD,MADRID,SPAIN,3,LANDED
AM,7859,2024-03-17 17:50:00,2024-03-17 17:45:00,A,MAD,MADRID,SPAIN,3,LANDED
AR,7872,2024-03-17 17:50:00,2024-03-17 17:45:00,A,MAD,MADRID,SPAIN,3,LANDED
IB,2395,2024-03-17 17:50:00,2024-03-17 17:45:00,A,MAD,MADRID,SPAIN,3,LANDED
LY,396,2024-03-17 17:50:00,2024-03-17 17:45:00,A,MAD,MADRID,SPAIN,3,LANDED
6H,711,2024-03-17 17:20:00,2024-03-17 17:46:00,D,VAR,VARNA,BULGARIA,3,DEPARTED
IZ,337,2024-03-17 16:55:00,2024-03-17 17:47:00,D,MXP,MILAN,ITALY,3,DEPARTED
AM,7866,2024-03-17 17:05:00,2024-03-17 17:54:00,D,MAD,MADRID,SPAIN,3,DEPARTED
AR,7873,2024-03-17 17:05:00,2024-03-17 17:54:00,D,MAD,MADRID,SPAIN,3,DEPARTED
IB,2396,2024-03-17 17:05:00,2024-03-17 17:54:00,D,MAD,MADRID,SPAIN,3,DEPARTED
LY,397,2024-03-17 17:05:00,2024-03-17 17:54:00,D,MAD,MADRID,SPAIN,3,DEPARTED
LY,5109,2024-03-17 17:30:00,2024-03-17 18:01:00,D,TBS,TBILISI,GEORGIA,3,DEPARTED
IZ,281,2024-03-17 17:20:00,2024-03-17 18:09:00,D,PRG,PRAGUE,CZECH REPUBLIC,3,DEPARTED
LY,2523,2024-03-17 17:45:00,2024-03-17 18:12:00,D,PRG,PRAGUE,CZECH REPUBLIC,3,DEPARTED
LY,351,2024-03-17 17:10:00,2024-03-17 18:14:00,D,MUC,MUNICH,GERMANY,3,DEPARTED
LY,2367,2024-03-17 17:10:00,2024-03-17 18:15:00,D,BUD,BUDAPEST,HUNGARY,3,DEPARTED
AR,7879,2024-03-17 18:00:00,2024-03-17 18:25:00,D,FCO,ROME,ITALY,3,DEPARTED
LY,383,2024-03-17 18:00:00,2024-03-17 18:25:00,D,FCO,ROME,ITALY,3,DEPARTED
TP,8900,2024-03-17 18:00:00,2024-03-17 18:25:00,D,FCO,ROME,ITALY,3,DEPARTED
IB,2390,2024-03-17 17:55:00,2024-03-17 18:27:00,D,BCN,BARCELONA,SPAIN,3,DEPARTED
LY,391,2024-03-17 17:55:00,2024-03-17 18:27:00,D,BCN,BARCELONA,SPAIN,3,DEPARTED
BZ,704,2024-03-17 18:20:00,2024-03-17 18:35:00,D,ATH,ATHENS,GREECE,3,DEPARTED
LX,253,2024-03-17 18:20:00,2024-03-17 18:36:00,D,ZRH,ZURICH,SWITZERLAND,3,DEPARTED
6H,721,2024-03-17 18:00:00,2024-03-17 18:38:00,D,SOF,SOFIA,BULGARIA,3,DEPARTED
5F,447,2024-03-17 18:55:00,2024-03-17 18:45:00,A,RMO,CHISINAU,MOLDOVA,3,LANDED
IZ,162,2024-03-17 19:00:00,2024-03-17 18:49:00,A,LCA,LARNACA,CYPRUS,3,LANDED
6H,726,2024-03-17 18:55:00,2024-03-17 18:52:00,A,BUD,BUDAPEST,HUNGARY,3,LANDED
LY,5101,2024-03-17 18:10:00,2024-03-17 18:53:00,D,WAW,WARSAW,POLAND,3,DEPARTED
6H,142,2024-03-17 19:15:00,2024-03-17 18:56:00,A,GNB,GRENOBLE,FRANCE,3,LANDED
IZ,363,2024-03-17 18:35:00,2024-03-17 18:59:00,D,SOF,SOFIA,BULGARIA,3,DEPARTED
LY,571,2024-03-17 18:20:00,2024-03-17 19:01:00,D,OTP,BUCHAREST,ROMANIA,3,DEPARTED
LY,342,2024-03-17 19:10:00,2024-03-17 19:07:00,A,GVA,GENEVA,SWITZERLAND,3,LANDED
LY,5108,2024-03-17 19:20:00,2024-03-17 19:27:00,A,TBS,TBILISI,GEORGIA,3,LANDED
LY,543,2024-03-17 19:15:00,2024-03-17 19:30:00,D,ATH,ATHENS,GREECE,3,DEPARTED
IZ,822,2024-03-17 19:05:00,2024-03-17 19:52:00,A,ETM,RAMON,ISRAEL,3,LANDED
