CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
LH,681,LUFTHANSA,2024-03-09T17:10:00,2024-03-09T17:53:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,24-33,A,DEPARTED,המריאה
SN,7172,BRUSSELS AIRLINES,2024-03-09T17:10:00,2024-03-09T17:53:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,24-33,A,DEPARTED,המריאה
LX,253,SWISS INT`L  AIRLINES,2024-03-09T18:20:00,2024-03-09T18:25:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,24-33,A,DEPARTED,המריאה
IZ,829,ARKIA  ISRAELI  AIRLINES,2024-03-09T18:50:00,2024-03-09T18:58:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G12-G18,G,DEPARTED,המריאה
IZ,1844,ARKIA  ISRAELI  AIRLINES,2024-03-09T19:15:00,2024-03-09T19:13:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,LANDED,נחתה
6H,044,ISRAIR AIRLINES,2024-03-09T19:25:00,2024-03-09T19:19:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,LANDED,נחתה
IZ,212,ARKIA  ISRAELI  AIRLINES,2024-03-09T19:35:00,2024-03-09T19:31:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
U8,108,TUS AIRWAYS,2024-03-09T20:00:00,2024-03-09T19:49:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
W9,4451,WIZZ UK,2024-03-09T21:05:00,2024-03-09T20:42:00,A,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
IZ,1845,ARKIA  ISRAELI  AIRLINES,2024-03-09T20:10:00,2024-03-09T20:51:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G12-G18,G,DEPARTED,המריאה
6H,047,ISRAIR AIRLINES,2024-03-09T20:30:00,2024-03-09T21:11:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G1-G6,G,DEPARTED,המריאה
IZ,820,ARKIA  ISRAELI  AIRLINES,2024-03-09T21:15:00,2024-03-09T21:16:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,LANDED,נחתה
IZ,214,ARKIA  ISRAELI  AIRLINES,2024-03-09T21:35:00,2024-03-09T21:25:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
LY,081,EL AL ISRAEL AIRLINES,2024-03-09T21:35:00,2024-03-09T21:46:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,DEPARTED,המריאה
QF,5020,QANTAS AIRWAYS,2024-03-09T21:35:00,2024-03-09T21:46:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,DEPARTED,המריאה
TG,4584,THAI AIRWAYS,2024-03-09T21:35:00,2024-03-09T21:46:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,DEPARTED,המריאה
VN,3298,VIETNAM AIRLINES,2024-03-09T21:35:00,2024-03-09T21:46:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,DEPARTED,המריאה
LY,083,EL AL ISRAEL AIRLINES,2024-03-09T21:45:00,2024-03-09T22:01:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,DEPARTED,המריאה
QF,5018,QANTAS AIRWAYS,2024-03-09T21:45:00,2024-03-09T22:01:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,DEPARTED,המריאה
TG,4586,THAI AIRWAYS,2024-03-09T21:45:00,2024-03-09T22:01:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,DEPARTED,המריאה
LY,091,EL AL ISRAEL AIRLINES,2024-03-09T21:45:00,2024-03-09T22:12:00,D,NRT,TOKYO INTL.-NARITA,טוקיו,TOKYO,יפן,JAPAN,3,78-99,D,DEPARTED,המריאה
LY,5131,EL AL ISRAEL AIRLINES,2024-03-09T22:00:00,2024-03-09T22:14:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,78-99,D,DEPARTED,המריאה
W9,4452,WIZZ UK,2024-03-09T21:55:00,2024-03-09T22:19:00,D,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,56-59,C,DEPARTED,המריאה
IZ,1846,ARKIA  ISRAELI  AIRLINES,2024-03-09T22:40:00,2024-03-09T22:48:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,LANDED,נחתה
6H,048,ISRAIR AIRLINES,2024-03-09T23:15:00,2024-03-09T23:14:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,LANDED,נחתה
6H,146,ISRAIR AIRLINES,2024-03-09T23:20:00,2024-03-09T23:21:00,A,GNB,GRENOBLE-SAUNT GEOIRS,גרנובל,GRENOBLE,צרפת,FRANCE,3,,,LANDED,נחתה
LY,572,EL AL ISRAEL AIRLINES,2024-03-10T00:20:00,2024-03-09T23:58:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,LANDED,נחתה
LY,544,EL AL ISRAEL AIRLINES,2024-03-10T00:25:00,2024-03-10T00:18:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
B6,6481,JETBLUE AIRWAYS CORPORATION,2024-03-10T00:05:00,2024-03-10T00:19:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
DL,7441,DELTA AIRLINES,2024-03-10T00:05:00,2024-03-10T00:19:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
LY,025,EL AL ISRAEL AIRLINES,2024-03-10T00:05:00,2024-03-10T00:19:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
ET,404,ETHIOPIAN AIRLINES,2024-03-10T00:35:00,2024-03-10T00:22:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,LANDED,נחתה
LY,8804,EL AL ISRAEL AIRLINES,2024-03-10T00:35:00,2024-03-10T00:22:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,LANDED,נחתה
6H,728,ISRAIR AIRLINES,2024-03-10T01:10:00,2024-03-10T00:53:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,LANDED,נחתה
AM,7869,AERO MEXICO,2024-03-10T00:45:00,2024-03-10T01:02:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
AR,7853,AEROLINEAS ARGENTINAS S.A.,2024-03-10T00:45:00,2024-03-10T01:02:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
B6,6451,JETBLUE AIRWAYS CORPORATION,2024-03-10T00:45:00,2024-03-10T01:02:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
DL,7424,DELTA AIRLINES,2024-03-10T00:45:00,2024-03-10T01:02:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
LY,001,EL AL ISRAEL AIRLINES,2024-03-10T00:45:00,2024-03-10T01:02:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
AM,7875,AERO MEXICO,2024-03-10T00:45:00,2024-03-10T01:04:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
B6,6461,JETBLUE AIRWAYS CORPORATION,2024-03-10T00:45:00,2024-03-10T01:04:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
DL,7428,DELTA AIRLINES,2024-03-10T00:45:00,2024-03-10T01:04:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
LY,005,EL AL ISRAEL AIRLINES,2024-03-10T00:45:00,2024-03-10T01:04:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
LY,5132,EL AL ISRAEL AIRLINES,2024-03-10T02:00:00,2024-03-10T01:16:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
AR,7851,AEROLINEAS ARGENTINAS S.A.,2024-03-10T01:00:00,2024-03-10T01:17:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
B6,6467,JETBLUE AIRWAYS CORPORATION,2024-03-10T01:00:00,2024-03-10T01:17:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
DL,7437,DELTA AIRLINES,2024-03-10T01:00:00,2024-03-10T01:17:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
LY,017,EL AL ISRAEL AIRLINES,2024-03-10T01:00:00,2024-03-10T01:17:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
B6,6483,JETBLUE AIRWAYS CORPORATION,2024-03-10T01:00:00,2024-03-10T01:19:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
DL,7443,DELTA AIRLINES,2024-03-10T01:00:00,2024-03-10T01:19:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
LY,027,EL AL ISRAEL AIRLINES,2024-03-10T01:00:00,2024-03-10T01:19:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
B6,6465,JETBLUE AIRWAYS CORPORATION,2024-03-10T01:05:00,2024-03-10T01:23:00,D,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
DL,7435,DELTA AIRLINES,2024-03-10T01:05:00,2024-03-10T01:23:00,D,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
LY,015,EL AL ISRAEL AIRLINES,2024-03-10T01:05:00,2024-03-10T01:23:00,D,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
ET,405,ETHIOPIAN AIRLINES,2024-03-10T01:30:00,2024-03-10T01:46:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,56-62,C,DEPARTED,המריאה
LY,8807,EL AL ISRAEL AIRLINES,2024-03-10T01:30:00,2024-03-10T01:46:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,56-62,C,DEPARTED,המריאה
BZ,705,BLUE BIRD AIRWAYS,2024-03-10T01:55:00,2024-03-10T01:50:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
LY,611,EL AL ISRAEL AIRLINES,2024-03-10T01:15:00,2024-03-10T01:53:00,D,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,78-99,D,DEPARTED,המריאה
LY,5102,EL AL ISRAEL AIRLINES,2024-03-10T02:10:00,2024-03-10T01:54:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,LANDED,נחתה
6H,144,ISRAIR AIRLINES,2024-03-10T02:10:00,2024-03-10T02:11:00,A,GNB,GRENOBLE-SAUNT GEOIRS,גרנובל,GRENOBLE,צרפת,FRANCE,3,,,LANDED,נחתה
AA,387,AMERICAN AIRLINES,2024-03-10T02:15:00,2024-03-10T02:17:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
AR,7874,AEROLINEAS ARGENTINAS S.A.,2024-03-10T02:15:00,2024-03-10T02:17:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
LY,384,EL AL ISRAEL AIRLINES,2024-03-10T02:15:00,2024-03-10T02:17:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
SK,3166,SAS,2024-03-10T02:15:00,2024-03-10T02:17:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
TP,8897,AIR PORTUGAL,2024-03-10T02:15:00,2024-03-10T02:17:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
A3,928,AEGEAN  AIRLINES,2024-03-10T03:00:00,2024-03-10T02:43:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
FB,1528,BULGARIA  AIR,2024-03-10T03:00:00,2024-03-10T02:43:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
LY,5014,EL AL ISRAEL AIRLINES,2024-03-10T03:20:00,2024-03-10T02:52:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
LY,388,EL AL ISRAEL AIRLINES,2024-03-10T02:55:00,2024-03-10T02:55:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,LANDED,נחתה
SK,3180,SAS,2024-03-10T02:55:00,2024-03-10T02:55:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,LANDED,נחתה
TP,8901,AIR PORTUGAL,2024-03-10T02:55:00,2024-03-10T02:55:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,LANDED,נחתה
OS,859,AUSTRIAN AIRLINES,2024-03-10T03:35:00,2024-03-10T03:22:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,LANDED,נחתה
LO,151,LOT POLISH AIRLINES,2024-03-10T03:45:00,2024-03-10T03:51:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,LANDED,נחתה
LY,9256,EL AL ISRAEL AIRLINES,2024-03-10T03:45:00,2024-03-10T03:51:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,LANDED,נחתה
IZ,292,ARKIA  ISRAELI  AIRLINES,2024-03-10T04:00:00,2024-03-10T03:53:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,LANDED,נחתה
IB,2391,IBERIA,2024-03-10T04:00:00,2024-03-10T03:59:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,LANDED,נחתה
LY,392,EL AL ISRAEL AIRLINES,2024-03-10T04:00:00,2024-03-10T03:59:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,LANDED,נחתה
IZ,284,ARKIA  ISRAELI  AIRLINES,2024-03-10T04:35:00,2024-03-10T04:04:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,LANDED,נחתה
AM,7854,AERO MEXICO,2024-03-10T03:50:00,2024-03-10T04:10:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
LY,326,EL AL ISRAEL AIRLINES,2024-03-10T03:50:00,2024-03-10T04:10:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
SK,3158,SAS,2024-03-10T03:50:00,2024-03-10T04:10:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
LY,088,EL AL ISRAEL AIRLINES,2024-03-10T04:35:00,2024-03-10T04:33:00,A,HKT,PHUKET,פוקט,PHUKET,תאילנד,THAILAND,3,,,LANDED,נחתה
AA,9267,AMERICAN AIRLINES,2024-03-10T05:05:00,2024-03-10T04:49:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
AM,7876,AERO MEXICO,2024-03-10T05:05:00,2024-03-10T04:49:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
LY,318,EL AL ISRAEL AIRLINES,2024-03-10T05:05:00,2024-03-10T04:49:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
SK,3174,SAS,2024-03-10T05:05:00,2024-03-10T04:49:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
A3,929,AEGEAN  AIRLINES,2024-03-10T05:15:00,2024-03-10T05:30:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,25-28,A,DEPARTED,המריאה
FB,1529,BULGARIA  AIR,2024-03-10T05:15:00,2024-03-10T05:30:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,25-28,A,DEPARTED,המריאה
JU,7623,AIR SERBIA,2024-03-10T05:15:00,2024-03-10T05:30:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,25-28,A,DEPARTED,המריאה
B6,6453,JETBLUE AIRWAYS CORPORATION,2024-03-10T05:15:00,2024-03-10T05:33:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
DL,7426,DELTA AIRLINES,2024-03-10T05:15:00,2024-03-10T05:33:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
LY,003,EL AL ISRAEL AIRLINES,2024-03-10T05:15:00,2024-03-10T05:33:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
IZ,415,ARKIA  ISRAELI  AIRLINES,2024-03-10T05:15:00,2024-03-10T05:36:00,D,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,34-38,B,DEPARTED,המריאה
BZ,251,BLUE BIRD AIRWAYS,2024-03-10T05:05:00,2024-03-10T05:37:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,LANDED,נחתה
LO,152,LOT POLISH AIRLINES,2024-03-10T05:20:00,2024-03-10T05:38:00,D,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,52-55,B,DEPARTED,המריאה
LY,9255,EL AL ISRAEL AIRLINES,2024-03-10T05:20:00,2024-03-10T05:38:00,D,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,52-55,B,DEPARTED,המריאה
LY,082,EL AL ISRAEL AIRLINES,2024-03-10T06:15:00,2024-03-10T05:39:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
QF,5021,QANTAS AIRWAYS,2024-03-10T06:15:00,2024-03-10T05:39:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
TG,5483,THAI AIRWAYS,2024-03-10T06:15:00,2024-03-10T05:39:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
VN,3299,VIETNAM AIRLINES,2024-03-10T06:15:00,2024-03-10T05:39:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
NH,5620,ALL NIPPON AIRWAYS,2024-03-10T05:20:00,2024-03-10T05:40:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,29-33,A,DEPARTED,המריאה
OS,860,AUSTRIAN AIRLINES,2024-03-10T05:20:00,2024-03-10T05:40:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,29-33,A,DEPARTED,המריאה
LY,347,EL AL ISRAEL AIRLINES,2024-03-10T05:30:00,2024-03-10T05:43:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,78-99,D,DEPARTED,המריאה
SK,3189,SAS,2024-03-10T05:30:00,2024-03-10T05:43:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,78-99,D,DEPARTED,המריאה
LY,311,EL AL ISRAEL AIRLINES,2024-03-10T05:30:00,2024-03-10T05:50:00,D,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,78-99,D,DEPARTED,המריאה
AM,7864,AERO MEXICO,2024-03-10T05:35:00,2024-03-10T05:58:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,DEPARTED,המריאה
LY,337,EL AL ISRAEL AIRLINES,2024-03-10T05:35:00,2024-03-10T05:58:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,DEPARTED,המריאה
SK,3155,SAS,2024-03-10T05:35:00,2024-03-10T05:58:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,DEPARTED,המריאה
AA,9262,AMERICAN AIRLINES,2024-03-10T05:50:00,2024-03-10T06:14:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
AM,7867,AERO MEXICO,2024-03-10T05:50:00,2024-03-10T06:14:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
LY,319,EL AL ISRAEL AIRLINES,2024-03-10T05:50:00,2024-03-10T06:14:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
SK,3161,SAS,2024-03-10T05:50:00,2024-03-10T06:14:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
AR,7877,AEROLINEAS ARGENTINAS S.A.,2024-03-10T06:10:00,2024-03-10T06:19:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
LY,385,EL AL ISRAEL AIRLINES,2024-03-10T06:10:00,2024-03-10T06:19:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
SK,3167,SAS,2024-03-10T06:10:00,2024-03-10T06:19:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
TP,8898,AIR PORTUGAL,2024-03-10T06:10:00,2024-03-10T06:19:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
LY,971,EL AL ISRAEL AIRLINES,2024-03-10T06:05:00,2024-03-10T06:20:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,78-99,D,DEPARTED,המריאה
6H,051,ISRAIR AIRLINES,2024-03-10T05:55:00,2024-03-10T06:23:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G1-G6,G,DEPARTED,המריאה
IZ,771,ARKIA  ISRAELI  AIRLINES,2024-03-10T06:00:00,2024-03-10T06:29:00,D,GNB,GRENOBLE-SAUNT GEOIRS,גרנובל,GRENOBLE,צרפת,FRANCE,3,38-42,B,DEPARTED,המריאה
LY,2371,EL AL ISRAEL AIRLINES,2024-03-10T06:00:00,2024-03-10T06:31:00,D,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,78-99,D,DEPARTED,המריאה
SK,3157,SAS,2024-03-10T06:00:00,2024-03-10T06:31:00,D,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,78-99,D,DEPARTED,המריאה
AA,9265,AMERICAN AIRLINES,2024-03-10T06:15:00,2024-03-10T06:33:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
AM,7879,AERO MEXICO,2024-03-10T06:15:00,2024-03-10T06:33:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
AR,7871,AEROLINEAS ARGENTINAS S.A.,2024-03-10T06:15:00,2024-03-10T06:33:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
IB,2394,IBERIA,2024-03-10T06:15:00,2024-03-10T06:33:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
LY,395,EL AL ISRAEL AIRLINES,2024-03-10T06:15:00,2024-03-10T06:33:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
IZ,775,ARKIA  ISRAELI  AIRLINES,2024-03-10T06:00:00,2024-03-10T06:35:00,D,LYS,LYON - SATOLAS,ליון,LYON,צרפת,FRANCE,3,42-46,B,DEPARTED,המריאה
LY,345,EL AL ISRAEL AIRLINES,2024-03-10T06:10:00,2024-03-10T06:38:00,D,GVA,GENEVA,ז'נבה,GENEVA,שוויץ,SWITZERLAND,3,78-99,D,DEPARTED,המריאה
LY,357,EL AL ISRAEL AIRLINES,2024-03-10T06:00:00,2024-03-10T06:41:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,78-99,D,DEPARTED,המריאה
SK,3165,SAS,2024-03-10T06:00:00,2024-03-10T06:41:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,78-99,D,DEPARTED,המריאה
