CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
JU,7621,AIR SERBIA,2024-03-12T12:50:00,2024-03-12T12:50:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,ON TIME,בזמן
AM,7871,AERO MEXICO,2024-03-12T13:00:00,2024-03-12T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,ON TIME,בזמן
AR,7855,AEROLINEAS ARGENTINAS S.A.,2024-03-12T13:00:00,2024-03-12T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,ON TIME,בזמן
B6,6455,JETBLUE AIRWAYS CORPORATION,2024-03-12T13:00:00,2024-03-12T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,ON TIME,בזמן
DL,7430,DELTA AIRLINES,2024-03-12T13:00:00,2024-03-12T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,ON TIME,בזמן
LY,007,EL AL ISRAEL AIRLINES,2024-03-12T13:00:00,2024-03-12T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,ON TIME,בזמן
EK,2345,EMIRATES,2024-03-12T13:05:00,2024-03-12T13:05:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
FZ,1125,FLYDUBAI,2024-03-12T13:05:00,2024-03-12T13:05:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
LX,255,SWISS INT`L  AIRLINES,2024-03-12T13:05:00,2024-03-12T13:05:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,ON TIME,בזמן
EK,2364,EMIRATES,2024-03-12T13:10:00,2024-03-12T13:10:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,ON TIME,בזמן
FZ,1212,FLYDUBAI,2024-03-12T13:10:00,2024-03-12T13:10:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,ON TIME,בזמן
IZ,281,ARKIA  ISRAELI  AIRLINES,2024-03-12T13:10:00,2024-03-12T13:10:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,ON TIME,בזמן
IZ,815,ARKIA  ISRAELI  AIRLINES,2024-03-12T13:10:00,2024-03-12T13:10:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,ON TIME,בזמן
LY,327,EL AL ISRAEL AIRLINES,2024-03-12T13:20:00,2024-03-12T13:20:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,ON TIME,בזמן
SK,3159,SAS,2024-03-12T13:20:00,2024-03-12T13:20:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,ON TIME,בזמן
LY,574,EL AL ISRAEL AIRLINES,2024-03-12T13:25:00,2024-03-12T13:25:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,NOT FINAL,לא סופי
ET,418,ETHIOPIAN AIRLINES,2024-03-12T13:35:00,2024-03-12T13:35:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,NOT FINAL,לא סופי
LY,8808,EL AL ISRAEL AIRLINES,2024-03-12T13:35:00,2024-03-12T13:35:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,NOT FINAL,לא סופי
LY,375,EL AL ISRAEL AIRLINES,2024-03-12T13:40:00,2024-03-12T13:40:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,,,ON TIME,בזמן
TP,8920,AIR PORTUGAL,2024-03-12T13:40:00,2024-03-12T13:40:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,,,ON TIME,בזמן
LY,552,EL AL ISRAEL AIRLINES,2024-03-12T13:45:00,2024-03-12T13:45:00,A,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,,,NOT FINAL,לא סופי
AM,7874,AERO MEXICO,2024-03-12T13:50:00,2024-03-12T13:50:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
B6,6462,JETBLUE AIRWAYS CORPORATION,2024-03-12T13:50:00,2024-03-12T13:50:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
DL,7429,DELTA AIRLINES,2024-03-12T13:50:00,2024-03-12T13:50:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
LY,006,EL AL ISRAEL AIRLINES,2024-03-12T13:50:00,2024-03-12T13:50:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
