Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Status
LY,974,2024-03-10 21:25:00,2024-03-10 21:24:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
W4,8288,2024-03-10 21:25:00,2024-03-10 21:48:00,D,FCO,ROME,ITALY,3,DEPARTED
IZ,552,2024-03-10 21:20:00,2024-03-10 22:04:00,A,RVN,ROVANIEMI,FINLAND,3,LANDED
IZ,828,2024-03-10 21:45:00,2024-03-10 22:07:00,A,ETM,RAMON,ISRAEL,3,LANDED
WZ,015,2024-03-10 22:45:00,2024-03-10 22:11:00,A,DME,MOSCOW,RUSSIAN FEDERATION,3,LANDED
LY,5130,2024-03-10 21:50:00,2024-03-10 22:12:00,A,RMO,CHISINAU,MOLDOVA,3,LANDED
AI,140,2024-03-10 21:10:00,2024-03-10 22:15:00,D,DEL,NEW DELHI,INDIA,3,DEPARTED
6H,723,2024-03-10 21:50:00,2024-03-10 22:19:00,D,SOF,SOFIA,BULGARIA,3,DEPARTED
LY,084,2024-03-10 22:50:00,2024-03-10 22:33:00,A,BKK,BANGKOK,THAILAND,3,LANDED
QF,5019,2024-03-10 22:50:00,2024-03-10 22:33:00,A,BKK,BANGKOK,THAILAND,3,LANDED
TG,4585,2024-03-10 22:50:00,2024-03-10 22:33:00,A,BKK,BANGKOK,THAILAND,3,LANDED
VN,3295,2024-03-10 22:50:00,2024-03-10 22:33:00,A,BKK,BANGKOK,THAILAND,3,LANDED
H7,457,2024-03-10 22:00:00,2024-03-10 22:42:00,A,RMO,CHISINAU,MOLDOVA,3,LANDED
IZ,418,2024-03-10 22:05:00,2024-03-10 22:46:00,A,TBS,TBILISI,GEORGIA,3,LANDED
LY,081,2024-03-10 22:00:00,2024-03-10 23:05:00,D,BKK,BANGKOK,THAILAND,3,DEPARTED
QF,5020,2024-03-10 22:00:00,2024-03-10 23:05:00,D,BKK,BANGKOK,THAILAND,3,DEPARTED
TG,4584,2024-03-10 22:00:00,2024-03-10 23:05:00,D,BKK,BANGKOK,THAILAND,3,DEPARTED
VN,3298,2024-03-10 22:00:00,2024-03-10 23:05:00,D,BKK,BANGKOK,THAILAND,3,DEPARTED
RO,2153,2024-03-10 23:20:00,2024-03-10 23:14:00,A,OTP,BUCHAREST,ROMANIA,3,LANDED
6H,712,2024-03-10 23:15:00,2024-03-10 23:29:00,A,VAR,VARNA,BULGARIA,3,LANDED
H7,458,2024-03-10 23:00:00,2024-03-10 23:51:00,D,RMO,CHISINAU,MOLDOVA,3,DEPARTED
LY,5134,2024-03-10 23:40:00,2024-03-10 23:56:00,A,LCA,LARNACA,CYPRUS,3,LANDED
LY,5110,2024-03-10 23:50:00,2024-03-11 00:05:00,A,TBS,TBILISI,GEORGIA,3,LANDED
ET,404,2024-03-11 00:35:00,2024-03-11 00:13:00,A,ADD,ADDIS ABABA,ETHIOPIA,3,LANDED
LY,8804,2024-03-11 00:35:00,2024-03-11 00:13:00,A,ADD,ADDIS ABABA,ETHIOPIA,3,LANDED
6H,722,2024-03-11 00:10:00,2024-03-11 00:17:00,A,SOF,SOFIA,BULGARIA,3,LANDED
LY,364,2024-03-11 00:35:00,2024-03-11 00:20:00,A,VIE,VIENNA,AUSTRIA,3,LANDED
B6,6481,2024-03-11 00:05:00,2024-03-11 00:27:00,D,EWR,NEWARK,UNITED STATES,3,DEPARTED
DL,7441,2024-03-11 00:05:00,2024-03-11 00:27:00,D,EWR,NEWARK,UNITED STATES,3,DEPARTED
LY,025,2024-03-11 00:05:00,2024-03-11 00:27:00,D,EWR,NEWARK,UNITED STATES,3,DEPARTED
RO,2154,2024-03-11 00:20:00,2024-03-11 00:32:00,D,OTP,BUCHAREST,ROMANIA,3,DEPARTED
LY,544,2024-03-11 00:25:00,2024-03-11 00:34:00,A,ATH,ATHENS,GREECE,3,LANDED
BZ,461,2024-03-11 00:45:00,2024-03-11 00:37:00,A,PRG,PRAGUE,CZECH REPUBLIC,3,LANDED
LY,572,2024-03-11 00:20:00,2024-03-11 00:37:00,A,OTP,BUCHAREST,ROMANIA,3,LANDED
