Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Status
IZ,512,2024-03-14 00:35:00,2024-03-14 00:33:00,A,AMS,AMSTERDAM,NETHERLANDS,3,LANDED
LY,572,2024-03-14 00:35:00,2024-03-14 00:47:00,A,OTP,BUCHAREST,ROMANIA,3,LANDED
LY,344,2024-03-14 00:50:00,2024-03-14 00:53:00,A,ZRH,ZURICH,SWITZERLAND,3,LANDED
SK,3190,2024-03-14 00:50:00,2024-03-14 00:53:00,A,ZRH,ZURICH,SWITZERLAND,3,LANDED
AM,7869,2024-03-14 00:45:00,2024-03-14 01:02:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
AR,7853,2024-03-14 00:45:00,2024-03-14 01:02:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
B6,6451,2024-03-14 00:45:00,2024-03-14 01:02:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
DL,7424,2024-03-14 00:45:00,2024-03-14 01:02:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
LY,001,2024-03-14 00:45:00,2024-03-14 01:02:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
AM,7875,2024-03-14 00:50:00,2024-03-14 01:14:00,D,LAX,LOS ANGELES,UNITED STATES,3,DEPARTED
B6,6461,2024-03-14 00:50:00,2024-03-14 01:14:00,D,LAX,LOS ANGELES,UNITED STATES,3,DEPARTED
DL,7428,2024-03-14 00:50:00,2024-03-14 01:14:00,D,LAX,LOS ANGELES,UNITED STATES,3,DEPARTED
LY,005,2024-03-14 00:50:00,2024-03-14 01:14:00,D,LAX,LOS ANGELES,UNITED STATES,3,DEPARTED
B6,6465,2024-03-14 01:05:00,2024-03-14 01:15:00,D,BOS,BOSTON,UNITED STATES,3,DEPARTED
DL,7435,2024-03-14 01:05:00,2024-03-14 01:15:00,D,BOS,BOSTON,UNITED STATES,3,DEPARTED
LY,015,2024-03-14 01:05:00,2024-03-14 01:15:00,D,BOS,BOSTON,UNITED STATES,3,DEPARTED
