CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHRMINE,CHRMINH
AI,140,AIR INDIA,2024-03-17T21:10:00,2024-03-17T21:10:00,D,DEL,DELHI,דלהי,NEW DELHI,הודו,INDIA,3,ON TIME,בזמן
LY,974,EL AL ISRAEL AIRLINES,2024-03-17T21:25:00,2024-03-17T21:33:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,FINAL,סופי
6H,723,ISRAIR AIRLINES,2024-03-17T21:50:00,2024-03-17T21:50:00,D,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,ON TIME,בזמן
W4,8288,WIZZ AIR MALTA,2024-03-17T21:55:00,2024-03-17T21:55:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,ON TIME,בזמן
LY,081,EL AL ISRAEL AIRLINES,2024-03-17T22:00:00,2024-03-17T22:00:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,ON TIME,בזמן
QF,5020,QANTAS AIRWAYS,2024-03-17T22:00:00,2024-03-17T22:00:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,ON TIME,בזמן
TG,4584,THAI AIRWAYS,2024-03-17T22:00:00,2024-03-17T22:00:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,ON TIME,בזמן
VN,3298,VIETNAM AIRLINES,2024-03-17T22:00:00,2024-03-17T22:00:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,ON TIME,בזמן
LY,5130,EL AL ISRAEL AIRLINES,2024-03-17T22:05:00,2024-03-17T22:03:00,A,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,FINAL,סופי
IZ,828,ARKIA  ISRAELI  AIRLINES,2024-03-17T22:15:00,2024-03-17T22:15:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,NOT FINAL,לא סופי
LY,084,EL AL ISRAEL AIRLINES,2024-03-17T22:50:00,2024-03-17T22:37:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,FINAL,סופי
