CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHRMINE,CHRMINH
IZ,212,ARKIA  ISRAELI  AIRLINES,2024-03-16T21:25:00,2024-03-16T21:06:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,LANDED,נחתה
IZ,1845,ARKIA  ISRAELI  AIRLINES,2024-03-16T20:50:00,2024-03-16T21:20:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,DEPARTED,המריאה
BZ,131,BLUE BIRD AIRWAYS,2024-03-16T21:00:00,2024-03-16T21:32:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,LANDED,נחתה
6H,047,ISRAIR AIRLINES,2024-03-16T20:30:00,2024-03-16T21:32:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,DEPARTED,המריאה
6H,146,ISRAIR AIRLINES,2024-03-16T21:40:00,2024-03-16T21:52:00,A,GNB,GRENOBLE-SAUNT GEOIRS,גרנובל,GRENOBLE,צרפת,FRANCE,3,LANDED,נחתה
IZ,552,ARKIA  ISRAELI  AIRLINES,2024-03-16T21:20:00,2024-03-16T21:54:00,A,RVN,ROVANIEMI,רובניימי,ROVANIEMI,פינלנד,FINLAND,3,LANDED,נחתה
LY,091,EL AL ISRAEL AIRLINES,2024-03-16T21:45:00,2024-03-16T21:55:00,D,NRT,TOKYO INTL.-NARITA,טוקיו,TOKYO,יפן,JAPAN,3,DEPARTED,המריאה
LY,5131,EL AL ISRAEL AIRLINES,2024-03-16T21:50:00,2024-03-16T22:03:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,DEPARTED,המריאה
W9,4452,WIZZ UK,2024-03-16T21:55:00,2024-03-16T22:08:00,D,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,DEPARTED,המריאה
LY,081,EL AL ISRAEL AIRLINES,2024-03-16T21:40:00,2024-03-16T22:09:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,DEPARTED,המריאה
QF,5020,QANTAS AIRWAYS,2024-03-16T21:40:00,2024-03-16T22:09:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,DEPARTED,המריאה
TG,4584,THAI AIRWAYS,2024-03-16T21:40:00,2024-03-16T22:09:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,DEPARTED,המריאה
VN,3298,VIETNAM AIRLINES,2024-03-16T21:40:00,2024-03-16T22:09:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,DEPARTED,המריאה
LY,083,EL AL ISRAEL AIRLINES,2024-03-16T21:50:00,2024-03-16T22:18:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,DEPARTED,המריאה
QF,5018,QANTAS AIRWAYS,2024-03-16T21:50:00,2024-03-16T22:18:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,DEPARTED,המריאה
TG,4586,THAI AIRWAYS,2024-03-16T21:50:00,2024-03-16T22:18:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,DEPARTED,המריאה
IZ,1806,ARKIA  ISRAELI  AIRLINES,2024-03-16T21:55:00,2024-03-16T22:23:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,LANDED,נחתה
LY,545,EL AL ISRAEL AIRLINES,2024-03-16T22:15:00,2024-03-16T22:30:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,DEPARTED,המריאה
BZ,702,BLUE BIRD AIRWAYS,2024-03-16T21:55:00,2024-03-16T23:02:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,DEPARTED,המריאה
6H,048,ISRAIR AIRLINES,2024-03-16T23:15:00,2024-03-16T23:20:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,LANDED,נחתה
IZ,1846,ARKIA  ISRAELI  AIRLINES,2024-03-16T23:00:00,2024-03-16T23:23:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,LANDED,נחתה
ET,404,ETHIOPIAN AIRLINES,2024-03-17T00:35:00,2024-03-17T00:01:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,LANDED,נחתה
LY,8804,EL AL ISRAEL AIRLINES,2024-03-17T00:35:00,2024-03-17T00:01:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,LANDED,נחתה
LY,572,EL AL ISRAEL AIRLINES,2024-03-17T00:20:00,2024-03-17T00:03:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,LANDED,נחתה
B6,6481,JETBLUE AIRWAYS CORPORATION,2024-03-17T00:05:00,2024-03-17T00:15:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,DEPARTED,המריאה
DL,7441,DELTA AIRLINES,2024-03-17T00:05:00,2024-03-17T00:15:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,DEPARTED,המריאה
LY,025,EL AL ISRAEL AIRLINES,2024-03-17T00:05:00,2024-03-17T00:15:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,DEPARTED,המריאה
LY,544,EL AL ISRAEL AIRLINES,2024-03-17T00:25:00,2024-03-17T00:25:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,LANDED,נחתה
AM,7869,AERO MEXICO,2024-03-17T00:45:00,2024-03-17T00:59:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,DEPARTED,המריאה
AR,7853,AEROLINEAS ARGENTINAS S.A.,2024-03-17T00:45:00,2024-03-17T00:59:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,DEPARTED,המריאה
B6,6451,JETBLUE AIRWAYS CORPORATION,2024-03-17T00:45:00,2024-03-17T00:59:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,DEPARTED,המריאה
DL,7424,DELTA AIRLINES,2024-03-17T00:45:00,2024-03-17T00:59:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,DEPARTED,המריאה
LY,001,EL AL ISRAEL AIRLINES,2024-03-17T00:45:00,2024-03-17T00:59:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,DEPARTED,המריאה
AM,7875,AERO MEXICO,2024-03-17T00:45:00,2024-03-17T01:05:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,DEPARTED,המריאה
B6,6461,JETBLUE AIRWAYS CORPORATION,2024-03-17T00:45:00,2024-03-17T01:05:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,DEPARTED,המריאה
DL,7428,DELTA AIRLINES,2024-03-17T00:45:00,2024-03-17T01:05:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,DEPARTED,המריאה
LY,005,EL AL ISRAEL AIRLINES,2024-03-17T00:45:00,2024-03-17T01:05:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,DEPARTED,המריאה
AR,7851,AEROLINEAS ARGENTINAS S.A.,2024-03-17T01:00:00,2024-03-17T01:13:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,DEPARTED,המריאה
B6,6467,JETBLUE AIRWAYS CORPORATION,2024-03-17T01:00:00,2024-03-17T01:13:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,DEPARTED,המריאה
DL,7437,DELTA AIRLINES,2024-03-17T01:00:00,2024-03-17T01:13:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,DEPARTED,המריאה
LY,017,EL AL ISRAEL AIRLINES,2024-03-17T01:00:00,2024-03-17T01:13:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,DEPARTED,המריאה
B6,6483,JETBLUE AIRWAYS CORPORATION,2024-03-17T01:00:00,2024-03-17T01:15:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,DEPARTED,המריאה
DL,7443,DELTA AIRLINES,2024-03-17T01:00:00,2024-03-17T01:15:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,DEPARTED,המריאה
LY,027,EL AL ISRAEL AIRLINES,2024-03-17T01:00:00,2024-03-17T01:15:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,DEPARTED,המריאה
B6,6465,JETBLUE AIRWAYS CORPORATION,2024-03-17T01:05:00,2024-03-17T01:18:00,D,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,DEPARTED,המריאה
DL,7435,DELTA AIRLINES,2024-03-17T01:05:00,2024-03-17T01:18:00,D,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,DEPARTED,המריאה
LY,015,EL AL ISRAEL AIRLINES,2024-03-17T01:05:00,2024-03-17T01:18:00,D,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,DEPARTED,המריאה
LY,5132,EL AL ISRAEL AIRLINES,2024-03-17T01:50:00,2024-03-17T01:25:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,LANDED,נחתה
BZ,461,BLUE BIRD AIRWAYS,2024-03-17T01:55:00,2024-03-17T01:36:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,LANDED,נחתה
ET,405,ETHIOPIAN AIRLINES,2024-03-17T01:30:00,2024-03-17T01:40:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,DEPARTED,המריאה
LY,8807,EL AL ISRAEL AIRLINES,2024-03-17T01:30:00,2024-03-17T01:40:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,DEPARTED,המריאה
AA,387,AMERICAN AIRLINES,2024-03-17T02:15:00,2024-03-17T02:09:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,LANDED,נחתה
AR,7874,AEROLINEAS ARGENTINAS S.A.,2024-03-17T02:15:00,2024-03-17T02:09:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,LANDED,נחתה
LY,384,EL AL ISRAEL AIRLINES,2024-03-17T02:15:00,2024-03-17T02:09:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,LANDED,נחתה
SK,3166,SAS,2024-03-17T02:15:00,2024-03-17T02:09:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,LANDED,נחתה
TP,8897,AIR PORTUGAL,2024-03-17T02:15:00,2024-03-17T02:09:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,LANDED,נחתה
LY,388,EL AL ISRAEL AIRLINES,2024-03-17T02:55:00,2024-03-17T02:43:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,LANDED,נחתה
SK,3180,SAS,2024-03-17T02:55:00,2024-03-17T02:43:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,LANDED,נחתה
TP,8901,AIR PORTUGAL,2024-03-17T02:55:00,2024-03-17T02:43:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,LANDED,נחתה
A3,928,AEGEAN  AIRLINES,2024-03-17T03:00:00,2024-03-17T02:48:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,LANDED,נחתה
FB,1528,BULGARIA  AIR,2024-03-17T03:00:00,2024-03-17T02:48:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,LANDED,נחתה
6H,144,ISRAIR AIRLINES,2024-03-17T03:10:00,2024-03-17T03:08:00,A,GNB,GRENOBLE-SAUNT GEOIRS,גרנובל,GRENOBLE,צרפת,FRANCE,3,LANDED,נחתה
OS,859,AUSTRIAN AIRLINES,2024-03-17T03:35:00,2024-03-17T03:33:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,LANDED,נחתה
AM,7854,AERO MEXICO,2024-03-17T04:00:00,2024-03-17T03:45:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,LANDED,נחתה
LY,326,EL AL ISRAEL AIRLINES,2024-03-17T04:00:00,2024-03-17T03:45:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,LANDED,נחתה
SK,3158,SAS,2024-03-17T04:00:00,2024-03-17T03:45:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,LANDED,נחתה
IB,2391,IBERIA,2024-03-17T04:00:00,2024-03-17T03:47:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,LANDED,נחתה
LY,392,EL AL ISRAEL AIRLINES,2024-03-17T04:00:00,2024-03-17T03:47:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,LANDED,נחתה
LY,5208,EL AL ISRAEL AIRLINES,2024-03-17T04:35:00,2024-03-17T03:49:00,A,BEG,BELGRADE,בלגרד,BELGRADE,סרביה,SERBIA,3,LANDED,נחתה
LY,548,EL AL ISRAEL AIRLINES,2024-03-17T03:30:00,2024-03-17T03:51:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,LANDED,נחתה
LO,151,LOT POLISH AIRLINES,2024-03-17T03:45:00,2024-03-17T04:03:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,LANDED,נחתה
LY,9256,EL AL ISRAEL AIRLINES,2024-03-17T03:45:00,2024-03-17T04:03:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,LANDED,נחתה
QS,1286,SMARTWINGS,2024-03-17T04:35:00,2024-03-17T04:14:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,LANDED,נחתה
IZ,364,ARKIA  ISRAELI  AIRLINES,2024-03-17T04:30:00,2024-03-17T04:18:00,A,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,LANDED,נחתה
IZ,338,ARKIA  ISRAELI  AIRLINES,2024-03-17T04:35:00,2024-03-17T04:28:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,LANDED,נחתה
LY,088,EL AL ISRAEL AIRLINES,2024-03-17T04:35:00,2024-03-17T04:34:00,A,HKT,PHUKET,פוקט,PHUKET,תאילנד,THAILAND,3,LANDED,נחתה
IZ,284,ARKIA  ISRAELI  AIRLINES,2024-03-17T04:35:00,2024-03-17T04:37:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,LANDED,נחתה
AA,9267,AMERICAN AIRLINES,2024-03-17T05:05:00,2024-03-17T04:40:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,LANDED,נחתה
AM,7876,AERO MEXICO,2024-03-17T05:05:00,2024-03-17T04:40:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,LANDED,נחתה
LY,318,EL AL ISRAEL AIRLINES,2024-03-17T05:05:00,2024-03-17T04:40:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,LANDED,נחתה
SK,3174,SAS,2024-03-17T05:05:00,2024-03-17T04:40:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,LANDED,נחתה
BZ,251,BLUE BIRD AIRWAYS,2024-03-17T05:05:00,2024-03-17T05:12:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,LANDED,נחתה
B6,6453,JETBLUE AIRWAYS CORPORATION,2024-03-17T05:15:00,2024-03-17T05:31:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,DEPARTED,המריאה
DL,7426,DELTA AIRLINES,2024-03-17T05:15:00,2024-03-17T05:31:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,DEPARTED,המריאה
LY,003,EL AL ISRAEL AIRLINES,2024-03-17T05:15:00,2024-03-17T05:31:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,DEPARTED,המריאה
A3,929,AEGEAN  AIRLINES,2024-03-17T05:15:00,2024-03-17T05:33:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,DEPARTED,המריאה
FB,1529,BULGARIA  AIR,2024-03-17T05:15:00,2024-03-17T05:33:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,DEPARTED,המריאה
JU,7623,AIR SERBIA,2024-03-17T05:15:00,2024-03-17T05:33:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,DEPARTED,המריאה
NH,5620,ALL NIPPON AIRWAYS,2024-03-17T05:20:00,2024-03-17T05:36:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,DEPARTED,המריאה
OS,860,AUSTRIAN AIRLINES,2024-03-17T05:20:00,2024-03-17T05:36:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,DEPARTED,המריאה
LY,023,EL AL ISRAEL AIRLINES,2024-03-17T05:20:00,2024-03-17T05:41:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,DEPARTED,המריאה
LO,152,LOT POLISH AIRLINES,2024-03-17T05:20:00,2024-03-17T05:48:00,D,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,DEPARTED,המריאה
LY,9255,EL AL ISRAEL AIRLINES,2024-03-17T05:20:00,2024-03-17T05:48:00,D,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,DEPARTED,המריאה
QS,1287,SMARTWINGS,2024-03-17T05:35:00,2024-03-17T05:52:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,DEPARTED,המריאה
LY,311,EL AL ISRAEL AIRLINES,2024-03-17T05:30:00,2024-03-17T05:54:00,D,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,DEPARTED,המריאה
LY,082,EL AL ISRAEL AIRLINES,2024-03-17T06:15:00,2024-03-17T06:00:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,LANDED,נחתה
QF,5021,QANTAS AIRWAYS,2024-03-17T06:15:00,2024-03-17T06:00:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,LANDED,נחתה
TG,5483,THAI AIRWAYS,2024-03-17T06:15:00,2024-03-17T06:00:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,LANDED,נחתה
VN,3299,VIETNAM AIRLINES,2024-03-17T06:15:00,2024-03-17T06:00:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,LANDED,נחתה
IZ,779,ARKIA  ISRAELI  AIRLINES,2024-03-17T05:35:00,2024-03-17T06:04:00,D,LYS,LYON - SATOLAS,ליון,LYON,צרפת,FRANCE,3,DEPARTED,המריאה
LY,2371,EL AL ISRAEL AIRLINES,2024-03-17T06:00:00,2024-03-17T06:09:00,D,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,DEPARTED,המריאה
SK,3157,SAS,2024-03-17T06:00:00,2024-03-17T06:09:00,D,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,DEPARTED,המריאה
AM,7864,AERO MEXICO,2024-03-17T06:00:00,2024-03-17T06:11:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,DEPARTED,המריאה
LY,337,EL AL ISRAEL AIRLINES,2024-03-17T06:00:00,2024-03-17T06:11:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,DEPARTED,המריאה
SK,3155,SAS,2024-03-17T06:00:00,2024-03-17T06:11:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,DEPARTED,המריאה
AA,9262,AMERICAN AIRLINES,2024-03-17T05:50:00,2024-03-17T06:13:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,DEPARTED,המריאה
AM,7867,AERO MEXICO,2024-03-17T05:50:00,2024-03-17T06:13:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,DEPARTED,המריאה
LY,319,EL AL ISRAEL AIRLINES,2024-03-17T05:50:00,2024-03-17T06:13:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,DEPARTED,המריאה
SK,3161,SAS,2024-03-17T05:50:00,2024-03-17T06:13:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,DEPARTED,המריאה
LY,971,EL AL ISRAEL AIRLINES,2024-03-17T06:05:00,2024-03-17T06:20:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,DEPARTED,המריאה
AR,7877,AEROLINEAS ARGENTINAS S.A.,2024-03-17T06:10:00,2024-03-17T06:22:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,DEPARTED,המריאה
LY,385,EL AL ISRAEL AIRLINES,2024-03-17T06:10:00,2024-03-17T06:22:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,DEPARTED,המריאה
SK,3167,SAS,2024-03-17T06:10:00,2024-03-17T06:22:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,DEPARTED,המריאה
TP,8898,AIR PORTUGAL,2024-03-17T06:10:00,2024-03-17T06:22:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,DEPARTED,המריאה
LY,357,EL AL ISRAEL AIRLINES,2024-03-17T06:00:00,2024-03-17T06:24:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,DEPARTED,המריאה
SK,3165,SAS,2024-03-17T06:00:00,2024-03-17T06:24:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,DEPARTED,המריאה
LY,345,EL AL ISRAEL AIRLINES,2024-03-17T06:10:00,2024-03-17T06:25:00,D,GVA,GENEVA,ז'נבה,GENEVA,שוויץ,SWITZERLAND,3,DEPARTED,המריאה
IZ,771,ARKIA  ISRAELI  AIRLINES,2024-03-17T06:00:00,2024-03-17T06:35:00,D,GNB,GRENOBLE-SAUNT GEOIRS,גרנובל,GRENOBLE,צרפת,FRANCE,3,DEPARTED,המריאה
IB,2392,IBERIA,2024-03-17T06:30:00,2024-03-17T06:43:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,DEPARTED,המריאה
LY,393,EL AL ISRAEL AIRLINES,2024-03-17T06:30:00,2024-03-17T06:43:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,DEPARTED,המריאה
IZ,773,ARKIA  ISRAELI  AIRLINES,2024-03-17T06:30:00,2024-03-17T06:48:00,D,GNB,GRENOBLE-SAUNT GEOIRS,גרנובל,GRENOBLE,צרפת,FRANCE,3,DEPARTED,המריאה
AA,9265,AMERICAN AIRLINES,2024-03-17T06:15:00,2024-03-17T06:50:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,DEPARTED,המריאה
AM,7879,AERO MEXICO,2024-03-17T06:15:00,2024-03-17T06:50:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,DEPARTED,המריאה
AR,7871,AEROLINEAS ARGENTINAS S.A.,2024-03-17T06:15:00,2024-03-17T06:50:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,DEPARTED,המריאה
IB,2394,IBERIA,2024-03-17T06:15:00,2024-03-17T06:50:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,DEPARTED,המריאה
LY,395,EL AL ISRAEL AIRLINES,2024-03-17T06:15:00,2024-03-17T06:50:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,DEPARTED,המריאה
IZ,801,ARKIA  ISRAELI  AIRLINES,2024-03-17T06:30:00,2024-03-17T06:51:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,DEPARTED,המריאה
LY,541,EL AL ISRAEL AIRLINES,2024-03-17T07:00:00,2024-03-17T07:10:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,DEPARTED,המריאה
LY,381,EL AL ISRAEL AIRLINES,2024-03-17T06:50:00,2024-03-17T07:12:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,DEPARTED,המריאה
SK,3185,SAS,2024-03-17T06:50:00,2024-03-17T07:12:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,DEPARTED,המריאה
TP,8910,AIR PORTUGAL,2024-03-17T06:50:00,2024-03-17T07:12:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,DEPARTED,המריאה
LY,573,EL AL ISRAEL AIRLINES,2024-03-17T07:00:00,2024-03-17T07:15:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,DEPARTED,המריאה
LY,2365,EL AL ISRAEL AIRLINES,2024-03-17T07:05:00,2024-03-17T07:23:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,DEPARTED,המריאה
BZ,442,BLUE BIRD AIRWAYS,2024-03-17T07:05:00,2024-03-17T07:24:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,DEPARTED,המריאה
6H,883,ISRAIR AIRLINES,2024-03-17T07:00:00,2024-03-17T07:27:00,D,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,DEPARTED,המריאה
