CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1T,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE
ET,404,ETHIOPIAN AIRLINES,2024-03-09 00:35:00,2024-03-09 00:18:00,A,ADD,ADDIS ABABA,ADDIS ABABA,ETHIOPIA,3,,,LANDED
LY,8804,EL AL ISRAEL AIRLINES,2024-03-09 00:35:00,2024-03-09 00:18:00,A,ADD,ADDIS ABABA,ADDIS ABABA,ETHIOPIA,3,,,LANDED
ET,405,ETHIOPIAN AIRLINES,2024-03-09 01:30:00,2024-03-09 01:34:00,D,ADD,ADDIS ABABA,ADDIS ABABA,ETHIOPIA,3,56-62,C,DEPARTED
LY,8807,EL AL ISRAEL AIRLINES,2024-03-09 01:30:00,2024-03-09 01:34:00,D,ADD,ADDIS ABABA,ADDIS ABABA,ETHIOPIA,3,56-62,C,DEPARTED
6H,174,ISRAIR AIRLINES,2024-03-09 02:35:00,2024-03-09 02:38:00,A,BCN,BARCELONA,BARCELONA,SPAIN,3,,,LANDED
A3,928,AEGEAN  AIRLINES,2024-03-09 03:00:00,2024-03-09 02:41:00,A,ATH,ATHENS,ATHENS,GREECE,3,,,LANDED
FB,1528,BULGARIA  AIR,2024-03-09 03:00:00,2024-03-09 02:41:00,A,ATH,ATHENS,ATHENS,GREECE,3,,,LANDED
LO,151,LOT POLISH AIRLINES,2024-03-09 03:45:00,2024-03-09 03:59:00,A,WAW,WARSAW,WARSAW,POLAND,3,,,LANDED
LY,9256,EL AL ISRAEL AIRLINES,2024-03-09 03:45:00,2024-03-09 03:59:00,A,WAW,WARSAW,WARSAW,POLAND,3,,,LANDED
QS,1286,SMARTWINGS,2024-03-09 04:35:00,2024-03-09 04:11:00,A,PRG,PRAGUE-RUZYNE,PRAGUE,CZECH REPUBLIC,3,,,LANDED
OS,859,AUSTRIAN AIRLINES,2024-03-09 03:35:00,2024-03-09 04:17:00,A,VIE,VIENNA,VIENNA,AUSTRIA,3,,,LANDED
A3,929,AEGEAN  AIRLINES,2024-03-09 05:15:00,2024-03-09 05:30:00,D,ATH,ATHENS,ATHENS,GREECE,3,12-15,A,DEPARTED
FB,1529,BULGARIA  AIR,2024-03-09 05:15:00,2024-03-09 05:30:00,D,ATH,ATHENS,ATHENS,GREECE,3,12-15,A,DEPARTED
JU,7623,AIR SERBIA,2024-03-09 05:15:00,2024-03-09 05:30:00,D,ATH,ATHENS,ATHENS,GREECE,3,12-15,A,DEPARTED
